X1,X2,X3,X4,X5,href
50,4607,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十一)(7723字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816683&cs=3126603&str=对部分国家+出口商品类章+海关统计
1,4606,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十)(8456字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816682&cs=3350086&str=对部分国家+出口商品类章+海关统计
2,4605,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(九)(8455字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816681&cs=11141178&str=对部分国家+出口商品类章+海关统计
3,4604,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(八)(7685字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816680&cs=5204171&str=对部分国家+出口商品类章+海关统计
4,4603,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(七)(7705字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816679&cs=11996784&str=对部分国家+出口商品类章+海关统计
5,4602,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(六)(7563字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816678&cs=12633744&str=对部分国家+出口商品类章+海关统计
6,4601,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(五)(7756字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816677&cs=6749688&str=对部分国家+出口商品类章+海关统计
7,4600,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(四)(7647字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816676&cs=1045206&str=对部分国家+出口商品类章+海关统计
8,4599,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(三)(7747字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816675&cs=13737534&str=对部分国家+出口商品类章+海关统计
9,4598,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二)(7956字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816674&cs=8172870&str=对部分国家+出口商品类章+海关统计
10,4597,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(一)(7920字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816673&cs=16752199&str=对部分国家+出口商品类章+海关统计
11,4596,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十二)(7589字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816586&cs=6764711&str=对部分国家+出口商品类章+海关统计
12,4595,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十一)(7809字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816585&cs=3608614&str=对部分国家+出口商品类章+海关统计
13,4594,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(二十)(7297字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816584&cs=1797393&str=对部分国家+出口商品类章+海关统计
14,4593,20190831,中国2019年1-8月对部分国家(地区)出口商品类章金额统计(十九)(7374字),精讯数据,/IrisBin/Text.dll?db=TJ&no=816583&cs=15867470&str=对部分国家+出口商品类章+海关统计
